Artist,Album,Genre,Style,Year,Ratings
Nao,February 15 EP,None,None,2015, 8.4 
Holly Herndon,Platform,Electronic,Techno,2015, 8.7 
Loren Connors," Blues: The ""Dark Paintings"" of Mark Rothko ", Blues,Avantgarde,2015, 8.3 
Circuit Des Yeux,In Plain Speech,Rock,Experimental,2015, 8.0 
Shamir,Ratchet,Electronic,Disco,2015, 8.3 
Noisem,Blossoming Decay,Rock,Grindcore,2015, 8.0 
Jim O'Rourke,Simple Songs,Rock,Art Rock,2015, 8.6 
Prurient,Frozen Niagara Falls,Electronic,Noise,2015, 8.5 
Kamasi Washington,The Epic,Jazz,Fusion,2015, 8.6 
Torres,Sprinter,Rock,None,2015, 8.0 
Bell Witch,Four Phantoms,Rock,Sludge Metal,2015, 8.2 
Sheer Mag,II EP,Pop,None,2015, 8.1 
Young Thug,Barter 6,Hip Hop,Trap,2015, 8.4 
Alabama Shakes,Sound & Color,Electronic,Dub,2015, 8.1 
Various Artists,Sherwood at the Controls Vol. 1: 1979-1984,Electronic,Post-Punk,2015, 8.0 
Tribulation,The Children of the Night,Electronic,House,2015, 8.4 
Oneohtrix Point Never,Commissions II,Electronic,Ambient,2015, 8.0 
Sonic Youth,Bad Moon Rising,Rock,Alternative Rock,2015, 8.1 
Fred Thomas,All Are Saved,Rock,None,2015, 8.0 
Waxahatchee,Ivy Tripp,Rock,Folk Rock,2015, 8.1 
GABI,Sympathy,Electronic,Experimental,2015, 8.0 
Various Artists,Next Stop Soweto Vol. 4: Zulu Rock Afro-Disco & Mbaqanga 1975-1985,Rock,None,2015, 8.3 
Lower Dens,Escape From Evil,Rock,Alternative Rock,2015, 8.3 
Jlin,Dark Energy,Electronic,Bass Music,2015, 8.5 
Death Grips,Jenny Death,Electronic,Experimental,2015, 8.1 
Sufjan Stevens,Carrie & Lowell,Pop,None,2015, 9.3 
Scuba,Claustrophobia,Electronic,Tech House,2015, 8.1 
Earl Sweatshirt,I Don't Like Shit I Don't Go Outside,Hip Hop,Conscious,2015, 8.0 
