Artist,Album,Genre,Style,Year,Ratings
Rwake,Voices of Omens,Rock,Stoner Rock,2007, 8.0 
Marissa Nadler,Songs III: Bird on the Water,Rock,Folk Rock,2007, 8.1 
Amon Tobin,The Foley Room,None,None,2007, 8.1 
Arcade Fire,Neon Bible,Rock,Post Rock,2007, 8.4 
!!!,Myth Takes,Electronic,Leftfield,2007, 8.0 
Electric Light Orchestra,Out of the Blue,Rock,Pop Rock,2007, 8.1 
Gui Boratto,Chromophobia,Electronic,Tech House,2007, 8.3 
Various Artists,Jonny Greenwood Is the Controller,Reggae,Reggae,2007, 8.4 
Papercuts,Can't Go Back,Rock,Folk Rock,2007, 8.3 
Boredoms,Super Roots 6/7/8,None,None,2007, 8.2 
The Besnard Lakes,Are the Dark Horse,Rock,Alternative Rock,2007, 8.2 
Rhys Chatham,A Crimson Grail (For 400 Electric Guitars),None,None,2007, 8.7 
The Trees Community,The Christ Tree,Folk World & Country,Religious,2007, 8.6 
Tim Hecker,Radio Amor,Electronic,Ambient,2007, 8.3 
Studio,Yearbook 1,Electronic,Dub,2007, 8.3 
Various Artists,London Is the Place for Me: Part Four,None,None,2007, 9.2 
Soft Circle,Full Bloom,Electronic,Psychedelic Rock,2007, 8.2 
Dexys Midnight Runners,The Projected Passion Revue,Rock,New Wave,2007, 8.0 
Radicalfashion,Odori,Electronic,Musique Concr?te,2007, 8.3 
Various Artists,Forever Changing: The Golden Age of Elektra Records 1963-1973,None,None,2007, 8.5 
Ghost,In Stormy Nights,Rock,Folk Rock,2007, 8.0 
Frank Sinatra,Vegas: Live,Rock,None,2007, 8.7 
Deerhunter,Cryptograms,Rock,Psychedelic Rock,2007, 8.9 
Various Artists,Stones Throw: Ten Years,Hip Hop,Funk,2007, 8.1 
David Daniell,Coastal,Rock,Shoegaze,2007, 8.1 
Of Montreal,Hissing Fauna Are You the Destroyer?,Electronic,Leftfield,2007, 8.7 
Deerhoof,Friend Opportunity,Rock,Alternative Rock,2007, 8.9 
Pop Levi,The Return to Form Black Majick Party,None,None,2007, 8.0 
Green Day,Kerplunk,Rock,Punk,2007, 8.5 
Menomena,Friend and Foe,Rock,Indie Rock,2007, 8.5 
Boris / Michio Kurihara,Rainbow,Electronic,Hardstyle,2007, 8.2 
Matthew Herbert,100 Lbs,None,None,2007, 8.1 
Fennesz,Endless Summer,Electronic,Drum n Bass,2007, 9.4 
Gruff Rhys,Candylion,Pop,Indie Pop,2007, 8.0 
Faust,IV,Rock,Alternative Rock,2006, 9.4 
Mike Tamburo and the Universal Orchestra of Pituitary Knowledge,Ghosts of Marumbey,Rock,Acoustic,2006, 8.5 
Various Artists,Rio Baile Funk: More Favela Booty Beats,Electronic,Latin,2006, 8.2 
The Capstan Shafts,Euridice Proudhon,Rock,Acoustic,2006, 8.2 
The La's,BBC in Session,Rock,Folk Rock,2006, 8.1 
Various Artists,Ultimate Breaks & Beats: The Complete Collection,Jazz,Samba,2006, 9.2 
Thomas Mapfumo and the Blacks Unlimited,Rise Up,Electronic,Breakbeat,2006, 8.0 
To Live and Shave in L.A.,Noon & Eternity,Electronic,Lo-Fi,2006, 8.0 
Ricardo Villalobos,Fizheuer Zieheuer,Electronic,Techno,2006, 8.2 
Pulp,The Peel Sessions,Rock,Indie Rock,2006, 8.4 
Various Artists,A Life Less Lived: The Gothic Box,Electronic,Alternative Rock,2006, 8.4 
Various Artists,Pop Ambient 2007,Electronic,Techno,2006, 8.1 
Gruppo di Improvvisazione Nuova Consonanza,Azioni,Jazz,Experimental,2006, 8.1 
Various Artists,How Low Can You Go?,Jazz,Calypso,2006, 9.0 
Charlemagne Palestine and Tony Conrad,An Aural Symbiotic Mystery,Electronic,Drone,2006, 8.7 
Gang Starr,Mass Appeal: The Best of Gang Starr,Hip Hop,None,2006, 9.0 
Ponytail,Kamehameha,Rock,Alternative Rock,2006, 8.1 
The Long Blondes,Someone to Drive You Home,Rock,Alternative Rock,2006, 8.2 
Arab Strap,Ten Years of Tears,Rock,Alternative Rock,2006, 8.2 
Sally Shapiro,Disco Romance,Electronic,Italo-Disco,2006, 8.5 
Seekers Who Are Lovers,You Are the Pride of Your Street EP,None,None,2006, 8.2 
Dusty Springfield,Complete A and B Sides 1963-1970,Rock,Lounge,2006, 8.5 
Jackie Mittoo,Wishbone,Electronic,Indie Rock,2006, 8.0 
Tara Jane O'Neil,In Circles,Rock,Folk Rock,2006, 8.1 
Black Devil Disco Club,28 Later,None,None,2006, 8.1 
Ramblin' Jack Elliott,I Stand Alone,Folk World & Country,Country,2006, 8.0 
Opeth,Ghost Reveries (Special Edition),None,None,2006, 8.4 
Girls Aloud,The Sound of Girls Aloud,Electronic,House,2006, 8.5 
Giddy Motors,Do Easy,Rock,Alternative Rock,2006, 8.0 
Converge,No Heroes,Rock,Hardcore,2006, 8.1 
Oh No,Exodus Into Unheard Rhythms,Hip Hop,None,2006, 8.0 
Vince Guaraldi,A Charlie Brown Christmas,Jazz,Smooth Jazz,2006, 8.3 
Arthur Russell,Springfield,Electronic,Leftfield,2006, 8.2 
The Wrens,Silver,Electronic,Industrial,2006, 7.1 
Jeezy,The Inspiration,Hip Hop,Thug Rap,2006, 8.1 
John Fahey,Sea Changes & Coelacanths: A Young Person’s Guide to John Fahey,Rock,Acoustic,2006, 8.6 
Bob Wills and His Texas Playboys,Legends of Country Music,Folk World & Country,Country,2006, 9.4 
Neil Young / Crazy Horse,Live at the Fillmore East,Rock,Classic Rock,2006, 8.2 
My My,Songs for the Gentle,Electronic,Minimal,2006, 8.3 
Corrina Repp,The Absent and the Distant,Pop,Folk,2006, 8.0 
Depeche Mode,The Best of Vol. 1,Electronic,New Age,2006, 8.2 
The Beatles,Love,Pop,Vocal,2006, 8.5 
Isis,In the Absence of Truth,Rock,Alternative Rock,2006, 8.3 
Max Richter,Songs From Before,Electronic,Modern Classical,2006, 8.3 
Tom Waits,Orphans: Brawlers Bawlers & Bastards,Rock,Alternative Rock,2006, 8.4 
Clipse,Hell Hath No Fury,Hip Hop,None,2006, 9.1 
Various Artists,Roots of Rumba Rock: Congo Classics 1953-1955,Latin,African,2006, 8.3 
Swan Lake,Beast Moans,Rock,Indie Rock,2006, 8.1 
The Drones,Gala Mill,Rock,Blues Rock,2006, 8.4 
The Clash,The Singles,Rock,Indie Rock,2006, 8.0 
Mudsuckers,Mudsuckers,Electronic,Noise,2006, 8.1 
Karen Dalton,In My Own Time,Blues,Country Blues,2006, 9.0 
R. Keenan Lawler,Music for the Bluegrass States,Rock,Experimental,2006, 8.0 
Rock Plaza Central,Are We Not Horses?,Rock,Folk Rock,2006, 8.4 
Merle Haggard,Hag: The Best of Merle Haggard,Folk World & Country,Country,2006, 8.8 
Various Artists,Journey Into Paradise: The Larry Levan Story,Electronic,Soul,2006, 8.9 
The Game,Doctor's Advocate,Hip Hop,Thug Rap,2006, 8.1 
Joanna Newsom,Ys,Rock,Folk,2006, 9.4 
Various Artists,The Complete Motown Singles Vol. 5: 1965,Rock,Rock & Roll,2006, 9.7 
Jean-Claude Vannier,L'Enfant Assasin des Mouches,None,None,2006, 8.4 
Pavement,Wowee Zowee: Sordid Sentinels Edition,Rock,Lo-Fi,2006, 9.3 
Luomo,Paper Tigers,Electronic,House,2006, 8.2 
The Exploding Hearts,Shattered,Electronic,Europop,2006, 8.5 
Animal Collective,Hollinndagain,Electronic,Folk Rock,2006, 8.1 
Clark,Body Riddle,Electronic,Abstract,2006, 8.5 
The Blow,Paper Television,Rock,Indie Rock,2006, 8.3 
Various Production,The World Is Gone,Electronic,Leftfield,2006, 8.5 
Various Artists,American Hardcore: The History of American Punk Rock 1980-1986,Rock,Hardcore,2006, 9.3 
Lindstr?m,It's a Feedelity Affair,Electronic,House,2006, 8.4 
Various Artists,Eccentric Soul: Mighty Mike Lenaburg,Funk / Soul,None,2006, 8.0 
Tom Moulton,A Tom Moulton Mix,Electronic,Soul,2006, 8.7 
Various Artists,What It Is!,Funk / Soul,Soul,2006, 8.8 
LCD Soundsystem,45:33,Electronic,Breaks,2006, 8.0 
Viva Voce,Get Yr Blood Sucked Out,Rock,Indie Rock,2006, 8.0 
Peter Bjorn and John,Writer's Block,Rock,Alternative Rock,2006, 8.5 
Lake of Dracula,Skeletal Remains,Rock,Alternative Rock,2006, 8.0 
Malajube,Trompe-L'oeil,Rock,Indie Rock,2006, 8.2 
Tim Hecker,Harmony in Ultraviolet,Electronic,Abstract,2006, 8.7 
Chavez,Better Days Will Haunt You,Rock,Indie Rock,2006, 9.4 
Beach House,Beach House,Electronic,House,2006, 8.1 
Various Artists,The DFA Remixes: Chapter Two,Electronic,Leftfield,2006, 8.2 
Lou Reed,Coney Island Baby,Rock,Classic Rock,2006, 8.5 
Califone,Roots and Crowns,Rock,None,2006, 8.7 
Pet Shop Boys,PopArt: The Hits,Electronic,House,2006, 8.1 
Okkervil River,Overboard & Down EP,Reggae,Roots Reggae,2006, 8.1 
Subtle,for hero: for fool,Electronic,Abstract,2006, 8.0 
The Decemberists,The Crane Wife,Rock,Indie Rock,2006, 8.4 
The Hold Steady,Boys and Girls in America,Rock,Alternative Rock,2006, 9.4 
The Byrds,There Is a Season,Rock,Psychedelic Rock,2006, 8.3 
Mercury Rev,The Essential Mercury Rev: Stillness Breathes 1991-2006,Electronic,Alternative Rock,2006, 8.3 
Radio Citizen,Berlin Serengeti,Electronic,Downtempo,2006, 8.2 
Sparklehorse,Dreamt for Light Years in the Belly of a Mountain,Rock,Indie Rock,2006, 8.3 
Jane's Addiction,Up from the Catacombs: The Best of Jane's Addiction,None,None,2006, 8.5 
Wolf Eyes,Human Animal,Electronic,Noise,2006, 8.2 
Missy Elliott,Respect M.E.,Hip Hop,RnB/Swing,2006, 9.2 
Mastodon,Blood Mountain,Rock,Southern Rock,2006, 8.7 
"Bonnie ""Prince"" Billy ", The Letting Go,Rock,Folk Rock,2006, 8.2 
R.E.M.,And I Feel Fine,Rock,Alternative Rock,2006, 9.7 
Xiu Xiu,The Air Force,Electronic,Art Rock,2006, 8.0 
Fujiya & Miyagi,Transparent Things,Electronic,Indie Rock,2006, 8.3 
Justin Timberlake,FutureSex/LoveSounds,Electronic,RnB/Swing,2006, 8.1 
Yo La Tengo,I Am Not Afraid of You and I Will Beat Your Ass,Rock,Indie Rock,2006, 8.3 
The Beach Boys,Pet Sounds: 40th Anniversary,Rock,Interview,2006, 9.4 
Stereolab,Serene Velocity: A Stereolab Anthology,Electronic,Post Rock,2006, 8.5 
Grizzly Bear,Yellow House,Rock,Folk Rock,2006, 8.7 
Prince,Ultimate Prince,None,None,2006, 8.6 
Various Artists,Good God! A Gospel Funk Hymnal,Funk / Soul,Soul,2006, 8.0 
John Cale,Paris 1919,Rock,Art Rock,2006, 9.5 
Agalloch,Ashes Against the Grain,Rock,Folk Rock,2006, 8.0 
M. Ward,Post-War,Folk World & Country,None,2006, 8.2 
Bob Dylan,Modern Times,Rock,Blues Rock,2006, 8.3 
The Cure,The Top,Electronic,Alternative Rock,2006, 6.9 
DJ Quik,Born and Raised in Compton: The Greatest Hits,Hip Hop,Gangsta,2006, 8.1 
My Brightest Diamond,Bring Me the Workhorse,Rock,Indie Rock,2006, 8.1 
The Thermals,The Body The Blood The Machine,Rock,Indie Rock,2006, 8.5 
The Delgados,The Complete BBC Peel Sessions,Rock,Indie Rock,2006, 8.5 
Tortoise,A Lazarus Taxon,Electronic,Post Rock,2006, 9.2 
Junior Boys,So This Is Goodbye,Electronic,Synth-pop,2006, 9.0 
I'm From Barcelona,Let Me Introduce My Friends,Rock,Folk Rock,2006, 8.4 
Mew,And the Glass-Handed Kites,Rock,Alternative Rock,2006, 8.4 
Sebadoh,III,Rock,Lo-Fi,2006, 9.3 
Ali Farka Tour?,Savane,Latin,None,2006, 8.1 
The Jesus and Mary Chain,Psychocandy,Rock,Alternative Rock,2006, 9.6 
Xiu Xiu,Tu Mi Piaci EP,None,None,2006, 8.0 
Professor Murder,Rides the Subway EP,None,None,2006, 8.3 
Guillemots,Through the Windowpane,Rock,Pop Rock,2006, 8.3 
Vapnet,Jag Vet Hur Man V?ntar,Rock,Pop Rock,2006, 8.3 
The Pipettes,We Are the Pipettes,Rock,Indie Rock,2006, 8.4 
Various Artists,Jamaica to Toronto: Soul Funk & Reggae 1967-1974,Reggae,Reggae,2006, 8.1 
Current 93,Black Ships Ate the Sky,Electronic,Experimental,2006, 8.0 
Old 97's,Hit by a Train: The Best of Old 97's,Rock,Country Rock,2006, 8.2 
Rhymefest,Blue Collar,Hip Hop,None,2006, 8.0 
Depeche Mode,Speak & Spell,Rock,Pop Rock,2006, 7.5 
Lily Allen,Alright Still,Hip Hop,Pop Rap,2006, 8.3 
Marc Leclair,Musique Pour 3 Femmes Enceintes,None,None,2006, 8.1 
Girl Talk,Night Ripper,Electronic,Glitch,2006, 8.4 
Caribou,Start Breaking My Heart,Electronic,Leftfield,2006, 7.9 
Boris,Dronevil Final,Rock,Doom Metal,2006, 8.0 
Scritti Politti,White Bread Black Beer,Electronic,Post Rock,2006, 8.1 
TV on the Radio,Return to Cookie Mountain,Electronic,Downtempo,2006, 9.1 
The Diableros,You Can't Break the Strings in Our Olympic Hearts,None,None,2006, 8.4 
Sway,This Is My Demo,Hip Hop,None,2006, 8.1 
Various Artists,Rockin' Bones: 1950s Punk and Rockabilly,Rock,Rockabilly,2006, 9.2 
Gram Parsons,The Reprise Sessions,Rock,Alternative Rock,2006, 9.2 
Dr. Dre,Death Row’s Greatest Hits: The Chronicles,None,None,2006, 8.5 
This Heat,Out of Cold Storage,Electronic,Art Rock,2006, 9.0 
Asobi Seksu,Citrus,Rock,Shoegaze,2006, 8.3 
Four Tet,DJ Kicks,Electronic,Leftfield,2006, 8.1 
Brightblack Morning Light,Brightblack Morning Light,Rock,Soft Rock,2006, 8.2 
The Red Krayola,Introduction,Rock,Avantgarde,2006, 8.0 
Lil Wayne / DJ Drama,Dedication 2,Hip Hop,Thug Rap,2006, 8.1 
Burial,Burial,Electronic,Dubstep,2006, 8.0 
Barbara Morgenstern,The Grass Is Always Greener,Electronic,Leftfield,2006, 8.0 
Luna,Best of Luna,Rock,Indie Rock,2006, 8.1 
Various Artists,Eccentric Soul: The Big Mack Label,Funk / Soul,Soul,2006, 8.1 
Evangelicals,So Gone,Rock,Indie Rock,2006, 8.1 
The Replacements,Don't You Know Who I Think I Was?: The Best of The Replacements,None,None,2006, 8.8 
Six Organs of Admittance,The Sun Awakens,Rock,Folk Rock,2006, 8.0 
El Perro Del Mar,El Perro del Mar,Rock,Pop Rock,2006, 8.1 
The Russian Futurists,Me Myself and Rye,Electronic,Synth-pop,2006, 8.1 
Be Your Own Pet,Be Your Own Pet,Rock,Garage Rock,2006, 8.2 
Matthew Herbert,Scale,Electronic,Deep House,2006, 8.8 
NOMO,New Tones,Electronic,Soul-Jazz,2006, 8.4 
Various Artists,The Complete Motown Singles Vol. 4: 1964,Rock,Rock & Roll,2006, 9.4 
Johnny Cash,Personal File,Folk World & Country,Country,2006, 8.5 
Hot Chip,The Warning,Electronic,Leftfield,2006, 8.1 
Phoenix,It's Never Been Like That,Rock,Pop Rock,2006, 8.0 
Mission of Burma,The Obliterati,Rock,Alternative Rock,2006, 8.3 
Ekkehard Ehlers,A Life Without Fear,Electronic,Abstract,2006, 8.3 
The Black Heart Procession,The Spell,Rock,Post Rock,2006, 8.0 
Centro-matic,Fort Recovery,Rock,Alternative Rock,2006, 8.1 
Danielson Famile,Ships,Rock,Indie Rock,2006, 9.1 
Matmos,The Rose Has Teeth in the Mouth of a Beast,Electronic,Experimental,2006, 8.0 
Scott Walker,The Drift,Rock,Art Rock,2006, 9.0 
Frog Eyes,The Bloody Hand,Rock,Indie Rock,2006, 8.6 
Ellen Allien,Orchestra of Bubbles,Electronic,IDM,2006, 8.5 
Sunset Rubdown,Shut Up I Am Dreaming,Rock,Indie Rock,2006, 8.6 
Function,The Secret Miracle Fountain,Rock,Alternative Rock,2006, 8.2 
Bob Drake,What Day Is It?,Electronic,House,2006, 8.6 
Final Fantasy,He Poos Clouds,Rock,Indie Rock,2006, 8.0 
Various Artists,Idol Tryouts Two: Ghostly International Vol. Two,Electronic,Techno,2006, 8.0 
Bruce Springsteen,We Shall Overcome: The Seeger Sessions,Rock,Folk Rock,2006, 8.5 
Booka Shade,Movements,Electronic,Electro,2006, 8.6 
Aloha,Some Echoes,Rock,Indie Rock,2006, 8.0 
Avail,Dixie,Rock,Indie Rock,2006, 7.8 
Figurines,Skeleton,Electronic,Minimal,2006, 8.3 
Calexico,Garden Ruin,Rock,Indie Rock,2006, 8.1 
Major Stars,Syntoptikon,Rock,Noise,2006, 8.4 
Various Artists,The DFA Remixes: Chapter One,Electronic,Leftfield,2006, 8.2 
The Go-Betweens,That Striped Sunlight Sound,Rock,Alternative Rock,2006, 8.3 
The Black Swans,Sex Brain EP,None,None,2006, 8.0 
Islands,Return to the Sea,Rock,Indie Rock,2006, 8.4 
T.I.,King,Hip Hop,Thug Rap,2006, 8.4 
Daft Punk,Musique Vol. 1 (1993-2005),Electronic,House,2006, 8.4 
Morrissey,Ringleader of the Tormentors,Rock,Alternative Rock,2006, 8.0 
Cocteau Twins,Lullabies to Violaine: Singles and Extended Plays 1982-1996 Vol. 1,None,None,2006, 8.5 
Howe Gelb,'Sno Angel Like You,Rock,Alternative Rock,2006, 8.3 
Massive Attack,Collected,Rock,Blues Rock,2006, 8.3 
Ghostface Killah,Fishscale,Hip Hop,None,2006, 9.0 
David Byrne / Brian Eno,My Life in the Bush of Ghosts,Electronic,Leftfield,2006, 8.5 
Band of Horses,Everything All the Time,Rock,Indie Rock,2006, 8.8 
Pink Mountaintops,Axis of Evol,Rock,Folk Rock,2006, 8.1 
The Pretenders,Pirate Radio,Rock,New Wave,2006, 8.2 
Supersilent,7, Electronic,Techno,2006, 8.3 
Blondie,Greatest Hits: Sound and Vision,Rock,New Wave,2006, 8.0 
Keith Fullerton Whitman,Lisbon,Electronic,Glitch,2006, 8.6 
Chihei Hatakeyama,Minima Moralia,Electronic,Drone,2006, 8.1 
Wooden Wand and the Vanishing Voice,Gipsy Freedom,Rock,Psychedelic Rock,2006, 8.4 
Mclusky,Mcluskyism,Rock,Alternative Rock,2006, 8.4 
Tapes 'n Tapes,The Loon,Rock,Indie Rock,2006, 8.3 
Bob Marley & the Wailers,One Love at Studio One,Reggae,Reggae,2006, 8.0 
Battles,EP C / B EP,None,None,2006, 8.0 
Liars,Drum's Not Dead,Electronic,Noise,2006, 9.0 
Nathan Fake,Drowning in a Sea of Love,Electronic,Leftfield,2006, 8.4 
Destroyer,Destroyer's Rubies,Rock,Indie Rock,2006, 8.5 
Isol?e,Western Store,Electronic,Tech House,2006, 8.2 
Low Skies,All the Love I Could Find,Rock,Indie Rock,2006, 8.1 
Man Man,Six Demon Bag,Rock,Art Rock,2006, 8.3 
Mylo,Destroy Rock and Roll,Electronic,Leftfield,2006, 8.4 
The Knife,Silent Shout,Electronic,Electro,2006, 8.6 
Belong,October Language,Rock,Shoegaze,2006, 8.0 
Clogs,Lantern,Rock,Baroque,2006, 8.2 
His Name Is Alive,Detrola,Rock,Alternative Rock,2006, 8.4 
Various Artists,The Best of Studio One,Reggae,Roots Reggae,2006, 8.9 
Belle And Sebastian,The Life Pursuit,Rock,Indie Rock,2006, 8.5 
Various Artists,Eccentric Soul: The Deep City Label,Funk / Soul,Soul,2006, 8.7 
Various Artists,Tropic?lia: A Brazilian Revolution in Sound,Rock,Bossanova,2006, 9.5 
Various Artists,New York Noise 2,Rock,New Wave,2006, 8.1 
Miles Davis,The Cellar Door Sessions 1970,Jazz,Free Improvisation,2006, 9.4 
Boris,Pink,Rock,Stoner Rock,2006, 8.7 
Pixies,Hey!: Live Pixies 2004-2005,None,None,2006, 8.2 
Sunn O))),Black One,Electronic,Drone,2006, 8.9 
Love Is All,Nine Times That Same Song,Rock,Lo-Fi,2006, 8.7 
Serena-Maneesh,Serena-Maneesh,Rock,Psychedelic Rock,2006, 8.6 
Mission of Burma,Snapshot EP,None,None,2006, 8.2 
Cadence Weapon,Breaking Kayfabe,Hip Hop,None,2005, 8.0 
Cluster & Eno,Cluster & Eno,Electronic,IDM,2005, 8.7 
Massacre,Killing Time,Hip Hop,None,2005, 8.2 
Voxtrot,Raised By Wolves EP,None,None,2005, 7.8 
Judee Sill,Judee Sill,Folk World & Country,Folk,2005, 8.7 
Alog,Catch That Totem! (1998-2005),Electronic,Glitch,2005, 8.0 
Ricardo Villalobos,Achso,Electronic,Tech House,2005, 8.9 
Delta 5,Singles & Sessions 1979-81,Electronic,New Age,2005, 8.3 
Various Artists,All Tomorrow's Parties 3.1,Electronic,Rock & Roll,2005, 8.0 
Various Artists,Fonotone Records,Blues,Country Blues,2005, 8.8 
Various Artists,American Primitive Vol. II: Pre-War Revenants (1897-1939),Rock,None,2005, 8.6 
FM3,The Buddha Machine,None,None,2005, 8.2 
Modeselektor,Hello Mom!,Electronic,Glitch,2005, 8.3 
DJ Shadow,Funky Skunk,Hip Hop,Cut-up/DJ,2005, 8.0 
David Thomas Broughton,The Complete Guide To Insufficiency,Rock,Folk Rock,2005, 8.4 
Safety Scissors,Tainted Lunch,Electronic,Techno,2005, 8.5 
Lil Wayne,Tha Carter II,Hip Hop,Thug Rap,2005, 8.1 
Belle And Sebastian,If You're Feeling Sinister: Live at the Barbican,Rock,Indie Pop,2005, 9.1 
Nurse With Wound,Livin' Fear of James Last,Electronic,Experimental,2005, 8.2 
Steve Reich,You Are (Variations),Classical,Post-Modern,2005, 8.0 
Various Artists,OHM+: The Early Gurus of Electronic Music: 1948-1980,Electronic,Musique Concr?te,2005, 9.0 
Dreamies,Dreamies: 2006 Special Edition,Electronic,Abstract,2005, 8.7 
Soulwax,Nite Versions,Electronic,Leftfield,2005, 8.2 
Okkervil River,The Black Sheep Boy Appendix EP,None,None,2005, 8.2 
Boris,At Last: Feedbacker,Rock,Stoner Rock,2005, 7.7 
Jackie-O Motherfucker,Flags of the Sacred Harp,Electronic,Experimental,2005, 8.1 
Various Artists,The Complete Motown Singles Vol. 3: 1963,Jazz,Rock & Roll,2005, 9.2 
Jan Jelinek,Kosmischer Pitch,Electronic,Abstract,2005, 8.0 
New Order,Singles,Electronic,Alternative Rock,2005, 8.3 
Wooden Wand and the Vanishing Voice,XIAO,Rock,Folk Rock,2005, 7.3 
Ennio Morricone,Crime & Dissonance,Stage & Screen,Experimental,2005, 8.0 
The Drones,Wait Long By the River and the Bodies of Your Enemies Will Float By,Rock,Alternative Rock,2005, 8.3 
Koenji-Hyakkei,Angherr Shisspa,Rock,Hardcore,2005, 8.3 
DJ Koze,Kosi Comes Around,Electronic,Techno,2005, 8.0 
Men's Recovery Project,The Very Best Of,Rock,Soft Rock,2005, 8.2 
Hot Chip,Coming on Strong,Electronic,Electro,2005, 8.0 
Patti Smith,Horses [30th Anniversary Legacy Edition],None,None,2005, 9.4 
Isaac Hayes,Ultimate Isaac Hayes-- Can You Dig It?,Funk / Soul,Soul,2005, 8.0 
Jens Lekman,Oh You're So Silent Jens,Rock,Pop Rock,2005, 8.5 
ADULT.,Gimme Trouble,None,None,2005, 8.0 
Bruce Springsteen,Born to Run: 30th Anniversary Edition,Rock,Alternative Rock,2005, 10.0 
Various Artists,No New York,Electronic,No Wave,2005, 8.3 
Richard Hell,Spurts: The Richard Hell Story,Rock,Alternative Rock,2005, 8.6 
Galaxie 500,Peel Sessions,Rock,Garage Rock,2005, 8.4 
Mike Ladd,Father Divine,Electronic,Electro,2005, 8.4 
Wilco,Kicking Television: Live in Chicago,Rock,Alternative Rock,2005, 8.3 
No-Neck Blues Band,Qvaris,Rock,Noise,2005, 8.0 
Various Artists,John Peel: A Tribute,Rock,Alternative Rock,2005, 8.4 
Guided By Voices,Propeller,Rock,Lo-Fi,2005, 9.2 
Test Icicles,For Screening Purposes Only,Rock,Avantgarde,2005, 8.1 
AFX,Hangable Auto Bulb,Electronic,IDM,2005, 8.9 
Jack Rose,Kensington Blues,Rock,Country Blues,2005, 8.0 
The Angels of Light / Akron/Family,Akron/Family & Angels of Light,Rock,Folk Rock,2005, 8.0 
The Prodigy,Their Law: The Singles,Electronic,Breakbeat,2005, 9.1 
Pinetop Seven,The Night's Bloom,Jazz,Classical,2005, 8.4 
Various Artists,One Kiss Can Lead to Another,Rock,Rock & Roll,2005, 9.8 
Vashti Bunyan,Lookaftering,Rock,Folk Rock,2005, 8.5 
Various Artists,Cult Cargo: Belize City Boil Up,Reggae,Reggae,2005, 8.8 
Dominik Eulberg,Kreucht & Fleucht,Electronic,Techno,2005, 8.4 
Earth,Living in the Gleam of an Unsheathed Sword,Rock,Doom Metal,2005, 4.9 
Cristian Vogel,Station 55,Electronic,Breakbeat,2005, 8.3 
The Band,A Musical History,Stage & Screen,None,2005, 8.7 
The Joggers,With a Cape and a Cane,Rock,Math Rock,2005, 8.3 
Emmanuel Jal,Ceasefire,Hip Hop,None,2005, 8.2 
Three 6 Mafia,Most Known Unknown,Hip Hop,Gangsta,2005, 8.1 
Arab Strap,The Last Romance,Rock,Indie Rock,2005, 8.0 
Animal Collective,Feels,Electronic,Folk Rock,2005, 9.0 
The Deadly Snakes,Porcella,Rock,Alternative Rock,2005, 8.1 
Talking Heads,Talking Heads Brick,None,None,2005, 9.1 
The Clientele,Strange Geometry,Rock,Indie Rock,2005, 8.6 
Sonic Youth,Goo [Deluxe Edition],None,None,2005, 8.5 
Audion,Suckfish,Electronic,Techno,2005, 8.0 
Cage,Hell's Winter,Hip Hop,None,2005, 8.3 
Clipse,We Got It 4 Cheap Vol. 1,None,None,2005, 7.0 
Mouse on Mars,Live04,Electronic,Leftfield,2005, 8.0 
Deerhoof,The Runners Four,Rock,Indie Rock,2005, 9.0 
The Go! Team,Thunder Lightning Strike [U.S.],None,None,2005, 8.7 
Various Artists,Welsh Rare Beat,Rock,Folk Rock,2005, 8.2 
John Lennon,Working Class Hero: The Definitive Lennon,Rock,None,2005, 8.0 
Ladytron,The Witching Hour,Electronic,Electro,2005, 8.3 
Broken Social Scene,Broken Social Scene,Rock,Art Rock,2005, 8.4 
Robyn,Robyn,Electronic,Broken Beat,2005, 8.2 
Franz Ferdinand,You Could Have It So Much Better... With Franz Ferdinand,None,None,2005, 8.3 
Amadou & Mariam,Dimanche ? Bamako,Blues,African,2005, 8.0 
Various Artists,Children of Nuggets: Original Artyfacts from the Second Psychedelic Era 1976-1996,Rock,Garage Rock,2005, 8.6 
Richard Hawley,Coles Corner,Rock,Alternative Rock,2005, 8.1 
The Rosebuds,Birds Make Good Neighbors,Rock,Indie Rock,2005, 8.1 
Neutral Milk Hotel,In the Aeroplane Over the Sea,Rock,Alternative Rock,2005, 10.0 
Wolf Parade,Apologies to the Queen Mary,Rock,Indie Rock,2005, 9.2 
Run-D.M.C.,Run-DMC,Hip Hop,None,2005, 8.1 
Mazarin,We're Already There,Rock,Shoegaze,2005, 8.0 
Jason Forrest,Shamelessly Exciting,Electronic,Leftfield,2005, 8.2 
Blood on the Wall,Awesomer,Rock,Post Rock,2005, 8.1 
Eazy-E,Eternal E: Gangsta Memorial Edition,Hip Hop,Gangsta,2005, 8.0 
David Axelrod,The Edge: David Axelrod At Capitol 1966-1970,Jazz,Jazz-Rock,2005, 8.7 
Calexico / Iron & Wine,In the Reins EP,None,None,2005, 8.5 
Devendra Banhart,Cripple Crow,Rock,Folk Rock,2005, 8.4 
Luomo,Vocalcity,Electronic,Deep House,2005, 9.7 
YOB,The Unreal Never Lived,Rock,Doom Metal,2005, 8.0 
Black Dice,Broken Ear Record,Electronic,Rhythmic Noise,2005, 8.1 
Flamin' Groovies,Shake Some Action,Rock,Pop Rock,2005, 8.5 
